    0.182500E+01
    0.633000E-01
   200      1     0.620000E-01
  115        -0.324851E+02       -0.324851E+02       -0.324851E+02
  116        -0.405107E+02       -0.405107E+02       -0.405107E+02
  117        -0.473189E+02       -0.473189E+02       -0.473189E+02
  118        -0.527215E+02       -0.527215E+02       -0.527215E+02
  119        -0.565743E+02       -0.565743E+02       -0.565743E+02
  120        -0.587800E+02       -0.587800E+02       -0.587800E+02
  121        -0.592898E+02       -0.592898E+02       -0.592898E+02
  122        -0.581036E+02       -0.581036E+02       -0.581036E+02
  123        -0.552692E+02       -0.552692E+02       -0.552692E+02
  124        -0.508796E+02       -0.508796E+02       -0.508796E+02
  125        -0.450699E+02       -0.450699E+02       -0.450699E+02
  126        -0.380124E+02       -0.380124E+02       -0.380124E+02
  127        -0.299118E+02       -0.299118E+02       -0.299118E+02
  128        -0.209984E+02       -0.209984E+02       -0.209984E+02
  129        -0.115220E+02       -0.115220E+02       -0.115220E+02
  130        -0.174445E+01       -0.174445E+01       -0.174445E+01
  131         0.806729E+01        0.806729E+01        0.806729E+01
  132         0.176485E+02        0.176485E+02        0.176485E+02
  133         0.267435E+02        0.267435E+02        0.267435E+02
  134         0.351127E+02        0.351127E+02        0.351127E+02
  135         0.425382E+02        0.425382E+02        0.425382E+02
  136         0.488295E+02        0.488295E+02        0.488295E+02
  137         0.538281E+02        0.538281E+02        0.538281E+02
  138         0.574108E+02        0.574108E+02        0.574108E+02
  139         0.594932E+02        0.594932E+02        0.594932E+02
  140         0.600305E+02        0.600305E+02        0.600305E+02
  141         0.590190E+02        0.590190E+02        0.590190E+02
  142         0.564947E+02        0.564947E+02        0.564947E+02
  143         0.525327E+02        0.525327E+02        0.525327E+02
  144         0.472443E+02        0.472443E+02        0.472443E+02
  145         0.407740E+02        0.407740E+02        0.407740E+02
  146         0.332951E+02        0.332951E+02        0.332951E+02
  147         0.250050E+02        0.250050E+02        0.250050E+02
  148         0.161200E+02        0.161200E+02        0.161200E+02
  149         0.686954E+01        0.686954E+01        0.686954E+01
  150        -0.250977E+01       -0.250977E+01       -0.250977E+01
  151        -0.117803E+02       -0.117803E+02       -0.117803E+02
  152        -0.207094E+02       -0.207094E+02       -0.207094E+02
  153        -0.290750E+02       -0.290750E+02       -0.290750E+02
  154        -0.366714E+02       -0.366714E+02       -0.366714E+02
  155        -0.433140E+02       -0.433140E+02       -0.433140E+02
  156        -0.488437E+02       -0.488437E+02       -0.488437E+02
  157        -0.531309E+02       -0.531309E+02       -0.531309E+02
  158        -0.560778E+02       -0.560778E+02       -0.560778E+02
  159        -0.576213E+02       -0.576213E+02       -0.576213E+02
  160        -0.577334E+02       -0.577334E+02       -0.577334E+02
  161        -0.564220E+02       -0.564220E+02       -0.564220E+02
  162        -0.537302E+02       -0.537302E+02       -0.537302E+02
  163        -0.497349E+02       -0.497349E+02       -0.497349E+02
  164        -0.445445E+02       -0.445445E+02       -0.445445E+02
  165        -0.382957E+02       -0.382957E+02       -0.382957E+02
  166        -0.311502E+02       -0.311502E+02       -0.311502E+02
  167        -0.232903E+02       -0.232903E+02       -0.232903E+02
  168        -0.149140E+02       -0.149140E+02       -0.149140E+02
  169        -0.623051E+01       -0.623051E+01       -0.623051E+01
  170         0.254571E+01        0.254571E+01        0.254571E+01
  171         0.111997E+02        0.111997E+02        0.111997E+02
  172         0.195213E+02        0.195213E+02        0.195213E+02
  173         0.273107E+02        0.273107E+02        0.273107E+02
  174         0.343825E+02        0.343825E+02        0.343825E+02
  175         0.405708E+02        0.405708E+02        0.405708E+02
  176         0.457323E+02        0.457323E+02        0.457323E+02
  177         0.497503E+02        0.497503E+02        0.497503E+02
  178         0.525367E+02        0.525367E+02        0.525367E+02
  179         0.540340E+02        0.540340E+02        0.540340E+02
  180         0.542167E+02        0.542167E+02        0.542167E+02
  181         0.530910E+02        0.530910E+02        0.530910E+02
  182         0.506950E+02        0.506950E+02        0.506950E+02
  183         0.470968E+02        0.470968E+02        0.470968E+02
  184         0.423931E+02        0.423931E+02        0.423931E+02
  185         0.367063E+02        0.367063E+02        0.367063E+02
  186         0.301814E+02        0.301814E+02        0.301814E+02
  187         0.229821E+02        0.229821E+02        0.229821E+02
  188         0.152871E+02        0.152871E+02        0.152871E+02
  189         0.728525E+01        0.728525E+01        0.728525E+01
  190        -0.829039E+00       -0.829039E+00       -0.829039E+00
  191        -0.886029E+01       -0.886029E+01       -0.886029E+01
  192        -0.166168E+02       -0.166168E+02       -0.166168E+02
  193        -0.239152E+02       -0.239152E+02       -0.239152E+02
  194        -0.305849E+02       -0.305849E+02       -0.305849E+02
  195        -0.364715E+02       -0.364715E+02       -0.364715E+02
  196        -0.414410E+02       -0.414410E+02       -0.414410E+02
  197        -0.453826E+02       -0.453826E+02       -0.453826E+02
  198        -0.482108E+02       -0.482108E+02       -0.482108E+02
  199        -0.498676E+02       -0.498676E+02       -0.498676E+02
  200        -0.503233E+02       -0.503233E+02       -0.503233E+02
