    0.062    0.155642E+02
    0.124    0.723569E+01
    0.186    0.450049E+01
    0.248    0.316901E+01
    0.310    0.239784E+01
    0.372    0.190276E+01
    0.434    0.156070E+01
    0.496    0.131011E+01
    0.558    0.111734E+01
    0.620    0.963036E+00
    0.682    0.835601E+00
    0.744    0.727901E+00
    0.806    0.635382E+00
    0.868    0.555012E+00
    0.930    0.484673E+00
    0.992    0.422812E+00
    1.054    0.368237E+00
    1.116    0.320002E+00
    1.178    0.277336E+00
    1.240    0.239593E+00
    1.302    0.206227E+00
    1.364    0.176767E+00
    1.426    0.150803E+00
    1.488    0.127977E+00
    1.550    0.107967E+00
    1.612    0.904866E-01
    1.674    0.752785E-01
    1.736    0.621082E-01
    1.798    0.507623E-01
    1.860    0.410463E-01
    1.922    0.327819E-01
    1.984    0.258059E-01
    2.046    0.199686E-01
    2.108    0.151332E-01
    2.170    0.111744E-01
    2.232    0.797817E-02
    2.294    0.544053E-02
    2.356    0.346733E-02
    2.418    0.197352E-02
    2.480    0.882620E-03
    2.542    0.126218E-03
    2.604   -0.356536E-03
    2.666   -0.619415E-03
    2.728   -0.709596E-03
    2.790   -0.668120E-03
    2.852   -0.530354E-03
    2.914   -0.326438E-03
    2.976   -0.817156E-04
    3.038    0.182830E-03
    3.100    0.450171E-03
    3.162    0.706828E-03
    3.224    0.942488E-03
    3.286    0.114963E-02
    3.348    0.132318E-02
    3.410    0.146016E-02
    3.472    0.155940E-02
    3.534    0.162119E-02
    3.596    0.164706E-02
    3.658    0.163951E-02
    3.720    0.160174E-02
    3.782    0.153751E-02
    3.844    0.145088E-02
    3.906    0.134608E-02
    3.968    0.122738E-02
    4.030    0.109893E-02
    4.092    0.964672E-03
    4.154    0.828283E-03
    4.216    0.693073E-03
    4.278    0.561959E-03
    4.340    0.437431E-03
    4.402    0.321535E-03
    4.464    0.215874E-03
    4.526    0.121612E-03
    4.588    0.395021E-04
    4.650   -0.300949E-04
    4.712   -0.871694E-04
    4.774   -0.132026E-03
    4.836   -0.165238E-03
    4.898   -0.187604E-03
    4.960   -0.200101E-03
    5.022   -0.203836E-03
    5.084   -0.200005E-03
    5.146   -0.189848E-03
    5.208   -0.174615E-03
    5.270   -0.155526E-03
    5.332   -0.133744E-03
    5.394   -0.110352E-03
    5.456   -0.863284E-04
    5.518   -0.625354E-04
    5.580   -0.397076E-04
    5.642   -0.184469E-04
    5.704    0.778077E-06
    5.766    0.176292E-04
    5.828    0.318921E-04
    5.890    0.434666E-04
    5.952    0.523548E-04
    6.014    0.586475E-04
    6.076    0.625094E-04
    6.138    0.641631E-04
    6.200    0.638746E-04
    6.262    0.619373E-04
    6.324    0.586583E-04
    6.386    0.543454E-04
    6.448    0.492955E-04
    6.510    0.437854E-04
    6.572    0.380639E-04
    6.634    0.323458E-04
    6.696    0.268089E-04
    6.758    0.215917E-04
    6.820    0.167934E-04
    6.882    0.124759E-04
    6.944    0.866658E-05
    7.006    0.536238E-05
    7.068    0.253499E-05
    7.130    0.136351E-06
    7.192   -0.189548E-05
    7.254   -0.363040E-05
    7.316   -0.514063E-05
    7.378   -0.649552E-05
    7.440   -0.775701E-05
    7.502   -0.897589E-05
    7.564   -0.101890E-04
    7.626   -0.114176E-04
    7.688   -0.126661E-04
    7.750   -0.139227E-04
    7.812   -0.151604E-04
    7.874   -0.163389E-04
    7.936   -0.174073E-04
    7.998   -0.183071E-04
    8.060   -0.189762E-04
    8.122   -0.193525E-04
    8.184   -0.193778E-04
    8.246   -0.190015E-04
    8.308   -0.181838E-04
    8.370   -0.168991E-04
    8.432   -0.151378E-04
    8.494   -0.129082E-04
    8.556   -0.102373E-04
    8.618   -0.717080E-05
    8.680   -0.377251E-05
    8.742   -0.122556E-06
    8.804    0.368481E-05
    8.866    0.754411E-05
    8.928    0.113422E-04
    8.990    0.149620E-04
    9.052    0.182870E-04
    9.114    0.212048E-04
    9.176    0.236122E-04
    9.238    0.254183E-04
    9.300    0.265487E-04
    9.362    0.269484E-04
    9.424    0.265841E-04
    9.486    0.254461E-04
    9.548    0.235493E-04
    9.610    0.209331E-04
    9.672    0.176609E-04
    9.734    0.138182E-04
    9.796    0.951065E-05
    9.858    0.486054E-05
    9.920    0.334066E-08
    9.982   -0.491654E-05
   10.044   -0.975033E-05
   10.106   -0.143496E-04
   10.168   -0.185713E-04
   10.230   -0.222820E-04
   10.292   -0.253626E-04
   10.354   -0.277125E-04
   10.416   -0.292525E-04
   10.478   -0.299280E-04
   10.540   -0.297109E-04
   10.602   -0.286006E-04
   10.664   -0.266241E-04
   10.726   -0.238359E-04
   10.788   -0.203161E-04
   10.850   -0.161678E-04
   10.912   -0.115147E-04
   10.974   -0.649649E-05
   11.036   -0.126521E-05
   11.098    0.401987E-05
   11.160    0.919712E-05
   11.222    0.141076E-04
   11.284    0.186001E-04
   11.346    0.225358E-04
   11.408    0.257928E-04
   11.470    0.282702E-04
   11.532    0.298905E-04
   11.594    0.306031E-04
   11.656    0.303852E-04
   11.718    0.292429E-04
   11.780    0.272108E-04
   11.842    0.243512E-04
   11.904    0.207519E-04
   11.966    0.165237E-04
   12.028    0.117968E-04
   12.090    0.671672E-05
   12.152    0.143996E-05
   12.214   -0.387117E-05
   12.276   -0.905345E-05
   12.338   -0.139479E-04
