0.50	0.020			
0.60	0.021
0.70	0.022
0.80	0.024
0.90	0.026
1.00	0.027
1.10	0.029
1.20	0.036
1.30	0.041
1.40	0.049
1.50	0.062
1.60	0.078
1.70	0.097
1.80	0.124
1.90	0.151
2.00	0.185
2.05	0.212
2.10	0.224
2.15	0.265
2.20	0.282
2.25	0.323
2.30	0.344
2.35	0.399
2.40	0.438
2.45	0.513
2.50	0.560
2.55	0.700
2.60	0.736
2.65	0.904
2.70	1.124
2.75	1.408
2.80	1.713
2.85	1.975
2.90	2.195
2.95	2.352
3.00	2.437
3.05	2.429
3.10	2.335
3.15	2.172
3.20	1.968
3.25	1.699
3.30	1.497
3.35	1.327
3.40	1.195
3.45	1.101
3.50	1.037
3.55	0.964
3.60	0.873
3.65	0.813
3.70	0.768
3.75	0.740
3.80	0.722
3.85	0.689
3.90	0.687
3.95	0.661
4.00	0.647
4.10	0.644
4.20	0.648
4.30	0.649
4.40	0.664
4.50	0.706
4.60	0.771
4.70	0.837
4.80	0.893
4.90	0.944
5.00	1.001
5.10	1.064
5.20	1.118
5.30	1.152
5.40	1.169
5.50	1.180
5.60	1.189
5.70	1.189
5.80	1.172
5.90	1.139
6.00	1.100
6.20	1.035
6.40	0.974
6.60	0.930
6.80	0.912
7.00	0.898
7.20	0.912
7.40	0.943
7.60	0.983
7.80	1.036
8.00	1.059
8.20	1.065
8.40	1.058
8.60	1.030
8.80	1.010
9.00	0.992
9.20	0.974
9.40	0.968
9.60	0.964
9.80	0.976
10.0	0.992
10.2	1.001
10.4	1.015
10.6	1.019
10.8	1.015
11.0	1.015
11.2	1.006
11.4	1.000
11.6	0.993
11.8	0.984
12.0	0.990
12.2	1.000
12.4	1.000
12.6	1.001
12.8	1.001




