0.50	0.020					
0.60	0.021
0.70	0.020
0.80	0.021
0.90	0.021
1.00	0.023
1.10	0.025
1.20	0.029
1.30	0.037
1.40	0.048
1.50	0.064
1.60	0.079
1.70	0.099
1.80	0.118
1.90	0.142
2.00	0.166
2.05	0.183
2.10	0.197
2.15	0.210
2.20	0.223
2.25	0.243
2.30	0.265
2.35	0.294
2.40	0.327
2.45	0.355
2.50	0.397
2.55	0.446
2.60	0.516
2.65	0.565
2.70	0.746
2.75	0.909
2.80	1.138
2.85	1.394
2.90	1.674
2.95	1.947
3.00	2.181
3.05	2.344
3.10	2.419
3.15	2.399
3.20	2.293
3.25	2.120
3.30	1.909
3.35	1.689
3.40	1.484
3.45	1.311
3.50	1.178
3.55	1.002
3.60	0.945
3.65	0.896
3.70	0.857
3.75	0.812
3.80	0.779
3.85	0.754
3.90	0.733
3.95	0.710
4.00	0.697
4.10	0.681
4.20	0.662
4.30	0.662
4.40	0.665
4.50	0.677
4.60	0.698
4.70	0.747
4.80	0.838
4.90	0.895
5.00	0.942
5.10	0.995
5.20	1.059
5.30	1.114
5.40	1.159
5.50	1.187
5.60	1.203
5.70	1.210
5.80	1.203
5.90	1.179
6.00	1.140
6.20	1.059
6.40	0.984
6.60	0.929
6.80	0.913
7.00	0.913
7.20	0.921
7.40	0.943
7.60	0.974
7.80	1.012
8.00	1.038
8.20	1.052
8.40	1.057
8.60	1.037
8.80	1.014
9.00	1.000
9.20	0.985
9.40	0.978
9.60	0.975
9.80	0.975
10.0	0.985
10.2	0.999
10.4	1.012
10.6	1.018
10.8	1.019
11.0	1.015
11.2	1.004
11.4	0.994
11.6	0.984
11.8	0.981
12.0	0.996
12.2	1.007
12.4	1.006
12.6	1.006
12.8	1.005




