1.5	0.048
1.6	0.047
1.7	0.064
1.8	0.025
1.9	0.073
2.0	0.451
2.1	0.881
2.2	1.385
2.3	1.897
2.4	2.282
2.5	2.361
2.6	2.080
2.7	1.598
2.8	1.160
2.9	0.896
3.0	0.787
3.1	0.710
3.2	0.628
3.3	0.586
3.4	0.576
3.5	0.617
3.6	0.682
3.7	0.760
3.8	0.831
3.9	0.924
4.0	0.998
4.1	1.061
4.2	1.126
4.3	1.178
4.4	1.241
4.5	1.240
4.6	1.243
4.7	1.219
4.8	1.163
4.9	1.080
5.0	0.997
5.1	0.937
5.2	0.896
5.3	0.868
5.4	0.849
5.5	0.846
5.6	0.860
5.7	0.885
5.8	0.914
5.9	0.942
6.0	0.974
6.1	1.014
6.2	1.056
6.3	1.087
6.4	1.100
6.5	1.099
6.6	1.095
6.7	1.086
6.8	1.069
6.9	1.042
7.0	1.009
7.1	0.979
7.2	0.959
7.3	0.948
7.4	0.940
7.5	0.935
7.6	0.936
7.7	0.946
7.8	0.962
7.9	0.979
8.0	0.994
8.1	1.008
8.2	1.021
8.3	1.033
8.4	1.040
8.5	1.040
8.6	1.035
8.7	1.028
8.8	1.023
8.9	1.017
9.0	1.008
9.2	0.990
9.4	0.980
9.6	0.975
9.8	0.982
10.0	0.996
10.2	1.003
10.4	1.014
10.6	1.018
10.8	1.012
11.0	1.005
11.2	0.996
11.4	0.990
11.6	0.990
11.8	0.992
12.0	1.001
12.2	1.004
12.4	1.002
12.6	1.003
12.8	1.003
13.0	1.002
13.2	1.001
13.4	0.999
13.6	0.998
13.8	0.997
	


