0.50	0.020			
0.60	0.022
0.70	0.025
0.80	0.026
0.90	0.027
1.00	0.021
1.10	0.031
1.20	0.030
1.30	0.032
1.40	0.037
1.50	0.039
1.60	0.049
1.70	0.072
1.80	0.086
1.90	0.117
2.00	0.153
2.05	0.185
2.10	0.202
2.15	0.236
2.20	0.264
2.25	0.314
2.30	0.360
2.35	0.437
2.40	0.513
2.45	0.614
2.50	0.732
2.55	0.880
2.60	1.060
2.65	1.270
2.70	1.503
2.75	1.743
2.80	1.972
2.85	2.167
2.90	2.309
2.95	2.382
3.00	2.381
3.05	2.307
3.10	2.171
3.15	1.993
3.20	1.794
3.25	1.595
3.30	1.414
3.35	1.261
3.40	1.141
3.45	1.050
3.50	0.983
3.55	0.930
3.60	0.883
3.65	0.839
3.70	0.793
3.75	0.747
3.80	0.705
3.85	0.668
3.90	0.639
3.95	0.620
4.00	0.609
4.10	0.602
4.20	0.605
4.30	0.619
4.40	0.655
4.50	0.719
4.60	0.796
4.70	0.867
4.80	0.924
4.90	0.981
5.00	1.050
5.10	1.128
5.20	1.197
5.30	1.240
5.40	1.254
5.50	1.248
5.60	1.231
5.70	1.204
5.80	1.166
5.90	1.120
6.00	1.072
6.20	0.984
6.40	0.904
6.60	0.858
6.80	0.858
7.00	0.880
7.20	0.934
7.40	1.001
7.60	1.055
7.80	1.094
8.00	1.096
8.20	1.068
8.40	1.026
8.60	0.983
8.80	0.965
9.00	0.963
9.20	0.961
9.40	0.968
9.60	0.983
9.80	1.003
10.0	1.016
10.2	1.017
10.4	1.016
10.6	1.015
10.8	1.011
11.0	1.003
11.2	0.994
11.4	0.988
11.6	0.984
11.8	0.989
12.0	1.002
12.2	1.005
12.4	1.004
12.6	1.004
12.8	1.002
13.0	1.002
13.2	1.001
13.4	0.999
13.6	1.000
13.8	0.998
14.0	0.998
14.2	0.999
14.4	0.998
14.6	0.999
14.8	1.000
15.0	1.000
15.2	1.001
15.4	1.000
15.6	1.001
15.8	1.001
16.0	1.000
16.2	1.001
16.4	1.000
16.6	0.999
16.8	1.000
17.0	0.999


