    0.062    0.158421E+02
    0.124    0.748893E+01
    0.186    0.471819E+01
    0.248    0.334595E+01
    0.310    0.253395E+01
    0.372    0.200170E+01
    0.434    0.162830E+01
    0.496    0.135300E+01
    0.558    0.114194E+01
    0.620    0.974895E+00
    0.682    0.839142E+00
    0.744    0.726403E+00
    0.806    0.631131E+00
    0.868    0.549521E+00
    0.930    0.478901E+00
    0.992    0.417340E+00
    1.054    0.363407E+00
    1.116    0.316001E+00
    1.178    0.274256E+00
    1.240    0.237465E+00
    1.302    0.205040E+00
    1.364    0.176482E+00
    1.426    0.151360E+00
    1.488    0.129295E+00
    1.550    0.109957E+00
    1.612    0.930485E-01
    1.674    0.783076E-01
    1.736    0.654976E-01
    1.798    0.544065E-01
    1.860    0.448431E-01
    1.922    0.366351E-01
    1.984    0.296266E-01
    2.046    0.236771E-01
    2.108    0.186596E-01
    2.170    0.144594E-01
    2.232    0.109731E-01
    2.294    0.810776E-02
    2.356    0.577965E-02
    2.418    0.391380E-02
    2.480    0.244316E-02
    2.542    0.130793E-02
    2.604    0.455006E-03
    2.666   -0.162607E-03
    2.728   -0.586314E-03
    2.790   -0.852401E-03
    2.852   -0.992493E-03
    2.914   -0.103397E-02
    2.976   -0.100037E-02
    3.038   -0.911753E-03
    3.100   -0.785029E-03
    3.162   -0.634312E-03
    3.224   -0.471200E-03
    3.286   -0.305058E-03
    3.348   -0.143287E-03
    3.410    0.844329E-05
    3.472    0.145963E-03
    3.534    0.266399E-03
    3.596    0.367981E-03
    3.658    0.449872E-03
    3.720    0.512006E-03
    3.782    0.554942E-03
    3.844    0.579742E-03
    3.906    0.587844E-03
    3.968    0.580967E-03
    4.030    0.561017E-03
    4.092    0.530006E-03
    4.154    0.489984E-03
    4.216    0.442984E-03
    4.278    0.390967E-03
    4.340    0.335788E-03
    4.402    0.279162E-03
    4.464    0.222639E-03
    4.526    0.167589E-03
    4.588    0.115191E-03
    4.650    0.664267E-04
    4.712    0.220817E-04
    4.774   -0.172518E-04
    4.836   -0.511662E-04
    4.898   -0.794281E-04
    4.960   -0.101965E-03
    5.022   -0.118848E-03
    5.084   -0.130279E-03
    5.146   -0.136567E-03
    5.208   -0.138118E-03
    5.270   -0.135405E-03
    5.332   -0.128963E-03
    5.394   -0.119358E-03
    5.456   -0.107182E-03
    5.518   -0.930298E-04
    5.580   -0.774865E-04
    5.642   -0.611162E-04
    5.704   -0.444493E-04
    5.766   -0.279736E-04
    5.828   -0.121265E-04
    5.890    0.271085E-05
    5.952    0.162178E-04
    6.014    0.281365E-04
    6.076    0.382728E-04
    6.138    0.464956E-04
    6.200    0.527347E-04
    6.262    0.569776E-04
    6.324    0.592651E-04
    6.386    0.596859E-04
    6.448    0.583711E-04
    6.510    0.554870E-04
    6.572    0.512290E-04
    6.634    0.458139E-04
    6.696    0.394733E-04
    6.758    0.324465E-04
    6.820    0.249742E-04
    6.882    0.172920E-04
    6.944    0.962484E-05
    7.006    0.218229E-05
    7.068   -0.484602E-05
    7.130   -0.112938E-04
    7.192   -0.170209E-04
    7.254   -0.219150E-04
    7.316   -0.258931E-04
    7.378   -0.289014E-04
    7.440   -0.309151E-04
    7.502   -0.319375E-04
    7.564   -0.319979E-04
    7.626   -0.311495E-04
    7.688   -0.294664E-04
    7.750   -0.270409E-04
    7.812   -0.239799E-04
    7.874   -0.204013E-04
    7.936   -0.164304E-04
    7.998   -0.121962E-04
    8.060   -0.782785E-05
    8.122   -0.345150E-05
    8.184    0.813022E-06
    8.246    0.485491E-05
    8.308    0.857480E-05
    8.370    0.118868E-04
    8.432    0.147199E-04
    8.494    0.170194E-04
    8.556    0.187473E-04
    8.618    0.198824E-04
    8.680    0.204203E-04
    8.742    0.203727E-04
    8.804    0.197661E-04
    8.866    0.186409E-04
    8.928    0.170492E-04
    8.990    0.150532E-04
    9.052    0.127231E-04
    9.114    0.101352E-04
    9.176    0.736918E-05
    9.238    0.450605E-05
    9.300    0.162620E-05
    9.362   -0.119282E-05
    9.424   -0.387817E-05
    9.486   -0.636343E-05
    9.548   -0.858998E-05
    9.610   -0.105083E-04
    9.672   -0.120788E-04
    9.734   -0.132724E-04
    9.796   -0.140712E-04
    9.858   -0.144680E-04
    9.920   -0.144664E-04
    9.982   -0.140802E-04
   10.044   -0.133328E-04
   10.106   -0.122561E-04
   10.168   -0.108892E-04
   10.230   -0.927758E-05
   10.292   -0.747125E-05
   10.354   -0.552361E-05
   10.416   -0.348983E-05
   10.478   -0.142541E-05
   10.540    0.615239E-06
   10.602    0.258014E-05
   10.664    0.442098E-05
   10.726    0.609422E-05
   10.788    0.756202E-05
   10.850    0.879300E-05
   10.912    0.976282E-05
   10.974    0.104545E-04
   11.036    0.108588E-04
   11.098    0.109738E-04
   11.160    0.108051E-04
   11.222    0.103652E-04
   11.284    0.967314E-05
   11.346    0.875357E-05
   11.408    0.763616E-05
   11.470    0.635460E-05
   11.532    0.494567E-05
   11.594    0.344820E-05
   11.656    0.190210E-05
   11.718    0.347275E-06
   11.780   -0.117732E-05
   11.842   -0.263461E-05
   11.904   -0.399025E-05
   11.966   -0.521340E-05
   12.028   -0.627735E-05
   12.090   -0.716004E-05
   12.152   -0.784448E-05
   12.214   -0.831898E-05
   12.276   -0.857731E-05
   12.338   -0.861862E-05
