    0.185000E+01
    0.391000E-01
   200      1     0.620000E-01
  114         0.723292E+01        0.723292E+01        0.723292E+01
  115         0.130754E+02        0.130754E+02        0.130754E+02
  116         0.182082E+02        0.182082E+02        0.182082E+02
  117         0.226032E+02        0.226032E+02        0.226032E+02
  118         0.262484E+02        0.262484E+02        0.262484E+02
  119         0.291455E+02        0.291455E+02        0.291455E+02
  120         0.313091E+02        0.313091E+02        0.313091E+02
  121         0.327650E+02        0.327650E+02        0.327650E+02
  122         0.335481E+02        0.335481E+02        0.335481E+02
  123         0.337013E+02        0.337013E+02        0.337013E+02
  124         0.332738E+02        0.332738E+02        0.332738E+02
  125         0.323195E+02        0.323195E+02        0.323195E+02
  126         0.308955E+02        0.308955E+02        0.308955E+02
  127         0.290612E+02        0.290612E+02        0.290612E+02
  128         0.268767E+02        0.268767E+02        0.268767E+02
  129         0.244021E+02        0.244021E+02        0.244021E+02
  130         0.216964E+02        0.216964E+02        0.216964E+02
  131         0.188166E+02        0.188166E+02        0.188166E+02
  132         0.158176E+02        0.158176E+02        0.158176E+02
  133         0.127511E+02        0.127511E+02        0.127511E+02
  134         0.966556E+01        0.966556E+01        0.966556E+01
  135         0.660588E+01        0.660588E+01        0.660588E+01
  136         0.361313E+01        0.361313E+01        0.361313E+01
  137         0.724546E+00        0.724546E+00        0.724546E+00
  138        -0.202655E+01       -0.202655E+01       -0.202655E+01
  139        -0.461071E+01       -0.461071E+01       -0.461071E+01
  140        -0.700229E+01       -0.700229E+01       -0.700229E+01
  141        -0.917936E+01       -0.917936E+01       -0.917936E+01
  142        -0.111236E+02       -0.111236E+02       -0.111236E+02
  143        -0.128201E+02       -0.128201E+02       -0.128201E+02
  144        -0.142575E+02       -0.142575E+02       -0.142575E+02
  145        -0.154273E+02       -0.154273E+02       -0.154273E+02
  146        -0.163246E+02       -0.163246E+02       -0.163246E+02
  147        -0.169471E+02       -0.169471E+02       -0.169471E+02
  148        -0.172956E+02       -0.172956E+02       -0.172956E+02
  149        -0.173738E+02       -0.173738E+02       -0.173738E+02
  150        -0.171882E+02       -0.171882E+02       -0.171882E+02
  151        -0.167479E+02       -0.167479E+02       -0.167479E+02
  152        -0.160646E+02       -0.160646E+02       -0.160646E+02
  153        -0.151528E+02       -0.151528E+02       -0.151528E+02
  154        -0.140292E+02       -0.140292E+02       -0.140292E+02
  155        -0.127130E+02       -0.127130E+02       -0.127130E+02
  156        -0.112257E+02       -0.112257E+02       -0.112257E+02
  157        -0.959066E+01       -0.959066E+01       -0.959066E+01
  158        -0.783324E+01       -0.783324E+01       -0.783324E+01
  159        -0.598037E+01       -0.598037E+01       -0.598037E+01
  160        -0.406037E+01       -0.406037E+01       -0.406037E+01
  161        -0.210256E+01       -0.210256E+01       -0.210256E+01
  162        -0.136983E+00       -0.136983E+00       -0.136983E+00
  163         0.180603E+01        0.180603E+01        0.180603E+01
  164         0.369625E+01        0.369625E+01        0.369625E+01
  165         0.550399E+01        0.550399E+01        0.550399E+01
  166         0.720056E+01        0.720056E+01        0.720056E+01
  167         0.875875E+01        0.875875E+01        0.875875E+01
  168         0.101533E+02        0.101533E+02        0.101533E+02
  169         0.113612E+02        0.113612E+02        0.113612E+02
  170         0.123626E+02        0.123626E+02        0.123626E+02
  171         0.131404E+02        0.131404E+02        0.131404E+02
  172         0.136815E+02        0.136815E+02        0.136815E+02
  173         0.139764E+02        0.139764E+02        0.139764E+02
  174         0.140201E+02        0.140201E+02        0.140201E+02
  175         0.138115E+02        0.138115E+02        0.138115E+02
  176         0.133542E+02        0.133542E+02        0.133542E+02
  177         0.126563E+02        0.126563E+02        0.126563E+02
  178         0.117300E+02        0.117300E+02        0.117300E+02
  179         0.105922E+02        0.105922E+02        0.105922E+02
