          1         .01  2.1353583130041646E-06
          2         .02  9.7129293590451915E-05
          3         .03  3.8254333456886735E-04
          4         .04  9.6036259950856538E-04
          5         .05  1.9377789099047447E-03
          6         .06  3.4280151361492511E-03
          7         .07  5.5512003633363428E-03
          8         .08  8.4353055952752463E-03
          9         .09  1.2217150355738154E-02
         10         .10  1.7043491468925240E-02
         11         .11  2.3072206461490833E-02
         12         .12  3.0473584710520966E-02
         13         .13  3.9431741715661835E-02
         14         .14  5.0146172876393974E-02
         15         .15  6.2833465783683276E-02
         16         .16  7.7729191188726711E-02
         17         .17  9.5089997522748722E-02
         18         .18  0.1151959343614539    
         19         .19  0.1383530362917555    
         20         .20  0.1648962005448727    
         21         .21  0.1951923988213319    
         22         .22  0.2296442671034935    
         23         .23  0.2686941254667570    
         24         .24  0.3128284865506963    
         25         .25  0.3625831192986590    
         26         .26  0.4185487489888689    
         27         .27  0.4813774778164020    
         28         .28  0.5517900362852126    
         29         .29  0.6305839804674851    
         30         .30  0.7186429767542403    
         31         .31  0.8169473373722868    
         32         .32  0.9265859916373067    
         33         .33   1.048770120497767    
         34         .34   1.184848702604211    
         35         .35   1.336326289491639    
         36         .36   1.504883346824129    
         37         .37   1.692399604232737    
         38         .38   1.900980888166233    
         39         .39   2.132990040852050    
         40         .40   2.391082618175260    
         41         .41   2.678248197465422    
         42         .42   2.997858285936546    
         43         .43   3.353722025862302    
         44         .44   3.750151115504468    
         45         .45   4.192035679392326    
         46         .46   4.684933149810840    
         47         .47   5.235172710471438    
         48         .48   5.849978332726671    
         49         .49   6.537614212114672    
         50         .50   7.307557142717623    
